Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ITC,EQ,237.7,238.6,238.6,237.1,238.0,238.1,237.85,4208837,100107816845000.0,38576,1848314,0.43920000000000003
2020-01-02,ITC,EQ,238.1,238.2,240.95,238.1,240.3,239.85,239.71,8402979,201424092300000.0,84223,5619818,0.6688
2020-01-03,ITC,EQ,239.85,241.0,241.0,238.0,238.45,238.5,238.66,9284478,221585310235000.0,64049,6344169,0.6833
2020-01-06,ITC,EQ,238.5,237.5,238.3,235.0,235.3,235.1,236.15,7636617,180337499010000.0,72977,4934625,0.6462000000000001
2020-01-07,ITC,EQ,235.1,236.05,237.9,234.6,235.5,235.35,235.94,8416741,198582489585000.0,66747,4781835,0.5681
2020-01-08,ITC,EQ,235.35,234.0,235.8,233.25,234.4,234.2,234.46,7043211,165137361600000.0,66642,3897623,0.5534
2020-01-09,ITC,EQ,234.2,235.6,236.6,235.05,236.1,235.8,235.72,9452653,222817687385000.0,107069,6378923,0.6748000000000001
2020-01-10,ITC,EQ,235.8,237.6,238.75,236.8,238.1,238.0,237.86,9973746,237239722460000.0,89471,7182804,0.7202
2020-01-13,ITC,EQ,238.0,238.5,240.5,238.25,239.25,239.25,239.58,12243639,293334967230000.0,83515,8262934,0.6748999999999999
2020-01-14,ITC,EQ,239.25,240.25,243.8,238.3,243.1,243.25,241.86,11843444,286448778715000.0,89338,7543081,0.6369
2020-01-15,ITC,EQ,243.25,242.55,243.0,241.1,241.85,242.4,242.13,5476729,132609972125000.0,60662,3216141,0.5872
2020-01-16,ITC,EQ,242.4,242.5,243.9,240.1,240.45,240.75,241.88,9369668,226636048390000.0,85618,5733970,0.612
2020-01-17,ITC,EQ,240.75,240.75,242.1,239.4,239.95,239.95,240.43,7392403,177732106690000.0,97633,4578819,0.6194
2020-01-20,ITC,EQ,239.95,240.05,243.25,240.05,242.3,241.9,241.96,8020816,194075381250000.0,70844,4631818,0.5775
2020-01-21,ITC,EQ,241.9,241.45,241.45,238.0,238.45,238.45,239.25,9571070,228990647260000.0,90383,6175670,0.6452
2020-01-22,ITC,EQ,238.45,239.6,239.6,237.1,238.3,238.05,238.27,7654918,182390102905000.0,83042,4934815,0.6447
2020-01-23,ITC,EQ,238.05,238.1,238.75,236.9,237.95,237.9,237.67,6120434,145465474220000.0,69953,3537506,0.578
2020-01-24,ITC,EQ,237.9,237.4,239.1,237.0,238.25,238.15,238.21,6801874,162024756085000.0,66148,3748753,0.5511
2020-01-27,ITC,EQ,238.15,237.0,237.4,234.3,234.65,234.6,235.8,6837613,161231462790000.0,73157,3974981,0.5813
2020-01-28,ITC,EQ,234.6,234.75,235.9,230.5,231.0,230.75,232.39,14582907,338895337400000.0,134277,9816226,0.6731
2020-01-29,ITC,EQ,230.75,231.5,237.65,231.15,237.3,236.65,236.14,20469708,483375939570000.0,136048,11399264,0.5569
2020-01-30,ITC,EQ,236.65,236.95,237.0,233.0,233.7,234.05,234.92,10394149,244184318825000.0,75658,6735834,0.648
